Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(1, 17)","(16, 0)","[(1, 17), (2, 17), (3, 17), (3, 16), (3, 15), (3, 14), (4, 14), (5, 14), (5, 13), (6, 13), (6, 12), (6, 11), (7, 11), (7, 10), (7, 9), (8, 9), (9, 9), (10, 9), (10, 8), (10, 7), (10, 6), (10, 5), (10, 4), (10, 3), (10, 2), (11, 2), (12, 2), (12, 1), (12, 0), (13, 0), (14, 0), (15, 0), (16, 0)]",320,1571,792,UCS,c1,h1
"(1, 17)","(16, 0)","[(1, 17), (2, 17), (3, 17), (4, 17), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (11, 8), (12, 8), (13, 8), (13, 7), (14, 7), (14, 6), (15, 6), (16, 6), (16, 5), (16, 4), (16, 3), (16, 2), (16, 1), (16, 0)]",395,1390,699,UCS,c2,h1
"(1, 17)","(16, 0)","[(1, 17), (1, 16), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (6, 14), (6, 13), (6, 12), (7, 12), (8, 12), (8, 11), (8, 10), (8, 9), (8, 8), (9, 8), (10, 8), (10, 7), (10, 6), (10, 5), (10, 4), (11, 4), (12, 4), (13, 4), (13, 3), (13, 2), (13, 1), (14, 1), (15, 1), (16, 1), (16, 0)]",334,1433,721,UCS,c3,h1
"(1, 17)","(16, 0)","[(1, 17), (1, 16), (1, 15), (1, 14), (1, 13), (1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (10, 11), (10, 10), (10, 9), (10, 8), (10, 7), (10, 6), (11, 6), (12, 6), (13, 6), (14, 6), (15, 6), (15, 5), (15, 4), (15, 3), (15, 2), (15, 1), (15, 0), (16, 0)]",275,1483,745,UCS,c4,h1
"(21, 28)","(4, 9)","[(21, 28), (20, 28), (19, 28), (18, 28), (17, 28), (16, 28), (16, 27), (16, 26), (15, 26), (14, 26), (13, 26), (12, 26), (11, 26), (11, 25), (10, 25), (10, 24), (9, 24), (8, 24), (8, 23), (7, 23), (6, 23), (5, 23), (5, 22), (4, 22), (4, 21), (4, 20), (4, 19), (4, 18), (4, 17), (4, 16), (4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (4, 9)]",360,1687,860,UCS,c1,h1
"(21, 28)","(4, 9)","[(21, 28), (20, 28), (19, 28), (18, 28), (17, 28), (16, 28), (15, 28), (14, 28), (13, 28), (12, 28), (11, 28), (11, 27), (11, 26), (11, 25), (11, 24), (11, 23), (10, 23), (10, 22), (10, 21), (10, 20), (10, 19), (10, 18), (10, 17), (10, 16), (10, 15), (10, 14), (10, 13), (9, 13), (9, 12), (8, 12), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (5, 9), (4, 9)]",445,1714,876,UCS,c2,h1
"(21, 28)","(4, 9)","[(21, 28), (21, 27), (21, 26), (20, 26), (19, 26), (18, 26), (17, 26), (16, 26), (16, 25), (16, 24), (16, 23), (15, 23), (14, 23), (14, 22), (14, 21), (14, 20), (14, 19), (13, 19), (12, 19), (11, 19), (11, 18), (11, 17), (11, 16), (10, 16), (9, 16), (8, 16), (8, 15), (8, 14), (8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (4, 9)]",375,1700,868,UCS,c3,h1
"(21, 28)","(4, 9)","[(21, 28), (21, 27), (21, 26), (21, 25), (21, 24), (21, 23), (21, 22), (20, 22), (19, 22), (18, 22), (17, 22), (16, 22), (15, 22), (14, 22), (14, 21), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (14, 15), (13, 15), (12, 15), (11, 15), (10, 15), (9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (4, 9)]",307,1665,846,UCS,c4,h1
"(29, 3)","(0, 20)","[(29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3), (12, 3), (11, 3), (10, 3), (9, 3), (8, 3), (7, 3), (6, 3), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (5, 11), (4, 11), (4, 12), (3, 12), (3, 13), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (1, 18), (1, 19), (0, 19), (0, 20)]",460,1758,900,UCS,c1,h1
"(29, 3)","(0, 20)","[(29, 3), (28, 3), (27, 3), (26, 3), (25, 3), (24, 3), (23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (14, 3), (13, 3), (13, 4), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (12, 9), (12, 10), (12, 11), (11, 11), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (9, 16), (8, 16), (7, 16), (6, 16), (5, 16), (4, 16), (3, 16), (3, 17), (2, 17), (1, 17), (1, 18), (1, 19), (0, 19), (0, 20)]",605,1793,919,UCS,c2,h1
