Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c1,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c2,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c3,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c4,h1
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c1,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c2,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c3,h2
"(23, 21)","(23, 2)","[(23, 21), (23, 20), (23, 19), (23, 18), (23, 17), (23, 16), (23, 15), (23, 14), (23, 13), (23, 12), (23, 11), (23, 10), (23, 9), (23, 8), (23, 7), (23, 6), (23, 5), (23, 4), (23, 3), (23, 2)]",190,77,20,Greedy,c4,h2
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (24, 17), (25, 17), (25, 18)]",100,41,11,Greedy,c1,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (24, 17), (25, 17), (25, 18)]",140,41,11,Greedy,c2,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (24, 17), (25, 17), (25, 18)]",117,41,11,Greedy,c3,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (24, 17), (25, 17), (25, 18)]",103,41,11,Greedy,c4,h1
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (25, 17), (25, 18)]",100,41,11,Greedy,c1,h2
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (25, 17), (25, 18)]",140,41,11,Greedy,c2,h2
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (25, 17), (25, 18)]",116,41,11,Greedy,c3,h2
"(17, 16)","(25, 18)","[(17, 16), (18, 16), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16), (25, 17), (25, 18)]",104,41,11,Greedy,c4,h2
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 11)]",150,61,16,Greedy,c1,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 11)]",160,61,16,Greedy,c2,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 11)]",154,61,16,Greedy,c3,h1
"(15, 24)","(13, 11)","[(15, 24), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (15, 16), (15, 15), (15, 14), (15, 13), (14, 13), (14, 12), (13, 12), (13, 11)]",146,61,16,Greedy,c4,h1
