Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,HeuristicExecution Number
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,1
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,1
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,282,130,BFS,c3,h1,1
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,260,120,BFS,c4,h1,1
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,283,131,BFS,c1,h1,2
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c2,h1,2
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c3,h1,2
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,270,125,BFS,c4,h1,2
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,3
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,285,132,BFS,c2,h1,3
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,3
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,3
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,4
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,246,112,BFS,c2,h1,4
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c3,h1,4
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,4
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,281,129,BFS,c1,h1,5
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c2,h1,5
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,5
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,289,134,BFS,c4,h1,5
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,263,121,BFS,c1,h1,6
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,6
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,6
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c4,h1,6
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,282,130,BFS,c1,h1,7
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,281,129,BFS,c2,h1,7
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c3,h1,7
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,7
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,282,130,BFS,c1,h1,8
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c2,h1,8
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,262,120,BFS,c3,h1,8
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,8
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,9
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,9
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,287,133,BFS,c3,h1,9
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c4,h1,9
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c1,h1,10
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,10
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c3,h1,10
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,274,127,BFS,c4,h1,10
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,272,126,BFS,c1,h1,11
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c2,h1,11
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c3,h1,11
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,11
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,12
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,257,118,BFS,c2,h1,12
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,12
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,258,118,BFS,c4,h1,12
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c1,h1,13
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c2,h1,13
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,13
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c4,h1,13
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,263,121,BFS,c1,h1,14
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,14
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,279,129,BFS,c3,h1,14
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c4,h1,14
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,282,130,BFS,c1,h1,15
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,255,117,BFS,c2,h1,15
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c3,h1,15
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,15
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c1,h1,16
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c2,h1,16
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,263,121,BFS,c3,h1,16
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,248,113,BFS,c4,h1,16
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,254,116,BFS,c1,h1,17
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c2,h1,17
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c3,h1,17
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,263,121,BFS,c4,h1,17
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c1,h1,18
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,287,133,BFS,c2,h1,18
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c3,h1,18
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,261,120,BFS,c4,h1,18
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,274,127,BFS,c1,h1,19
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,265,122,BFS,c2,h1,19
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,272,126,BFS,c3,h1,19
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,294,136,BFS,c4,h1,19
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,291,135,BFS,c1,h1,20
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,259,119,BFS,c2,h1,20
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,258,118,BFS,c3,h1,20
"(25, 8)","(25, 0)","[(25, 8), (25, 7), (25, 6), (25, 5), (25, 4), (25, 3), (25, 2), (25, 1), (25, 0)]",80,282,130,BFS,c4,h1,20
"(23, 29)","(0, 8)","[(23, 29), (22, 29), (21, 29), (21, 28), (20, 28), (20, 27), (19, 27), (19, 26), (19, 25), (18, 25), (17, 25), (17, 24), (16, 24), (15, 24), (14, 24), (14, 23), (13, 23), (12, 23), (12, 22), (12, 21), (12, 20), (11, 20), (11, 19), (10, 19), (9, 19), (8, 19), (8, 18), (7, 18), (6, 18), (6, 17), (6, 16), (5, 16), (4, 16), (4, 15), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10), (3, 10), (2, 10), (1, 10), (0, 10), (0, 9), (0, 8)]",440,1789,917,BFS,c1,h1,1
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (22, 28), (22, 27), (21, 27), (21, 26), (21, 25), (21, 24), (20, 24), (19, 24), (18, 24), (18, 23), (18, 22), (18, 21), (18, 20), (17, 20), (17, 19), (17, 18), (16, 18), (16, 17), (16, 16), (15, 16), (14, 16), (13, 16), (12, 16), (12, 15), (12, 14), (11, 14), (10, 14), (10, 13), (9, 13), (9, 12), (9, 11), (9, 10), (8, 10), (8, 9), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",555,1801,923,BFS,c2,h1,1
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (23, 27), (23, 26), (22, 26), (21, 26), (20, 26), (20, 25), (20, 24), (19, 24), (19, 23), (18, 23), (18, 22), (18, 21), (18, 20), (18, 19), (18, 18), (17, 18), (16, 18), (16, 17), (15, 17), (14, 17), (14, 16), (13, 16), (12, 16), (11, 16), (10, 16), (10, 15), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (6, 13), (6, 12), (5, 12), (4, 12), (4, 11), (4, 10), (4, 9), (3, 9), (3, 8), (2, 8), (1, 8), (0, 8)]",478,1795,920,BFS,c3,h1,1
"(23, 29)","(0, 8)","[(23, 29), (22, 29), (21, 29), (21, 28), (20, 28), (19, 28), (19, 27), (18, 27), (17, 27), (17, 26), (16, 26), (16, 25), (15, 25), (15, 24), (15, 23), (15, 22), (15, 21), (14, 21), (13, 21), (13, 20), (13, 19), (13, 18), (12, 18), (12, 17), (11, 17), (10, 17), (9, 17), (9, 16), (8, 16), (8, 15), (8, 14), (7, 14), (7, 13), (6, 13), (6, 12), (5, 12), (4, 12), (3, 12), (3, 11), (3, 10), (2, 10), (2, 9), (1, 9), (1, 8), (0, 8)]",437,1789,917,BFS,c4,h1,1
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (23, 27), (23, 26), (23, 25), (23, 24), (22, 24), (21, 24), (21, 23), (21, 22), (20, 22), (20, 21), (20, 20), (20, 19), (19, 19), (19, 18), (19, 17), (18, 17), (18, 16), (18, 15), (17, 15), (16, 15), (15, 15), (15, 14), (15, 13), (15, 12), (15, 11), (14, 11), (13, 11), (13, 10), (13, 9), (12, 9), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",440,1804,925,BFS,c1,h1,2
"(23, 29)","(0, 8)","[(23, 29), (22, 29), (22, 28), (21, 28), (21, 27), (21, 26), (20, 26), (19, 26), (19, 25), (18, 25), (17, 25), (17, 24), (17, 23), (17, 22), (16, 22), (16, 21), (16, 20), (16, 19), (15, 19), (15, 18), (15, 17), (14, 17), (13, 17), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (12, 12), (12, 11), (11, 11), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",555,1799,922,BFS,c2,h1,2
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (22, 28), (22, 27), (22, 26), (22, 25), (22, 24), (22, 23), (21, 23), (21, 22), (20, 22), (20, 21), (19, 21), (18, 21), (18, 20), (18, 19), (17, 19), (17, 18), (17, 17), (16, 17), (15, 17), (14, 17), (14, 16), (14, 15), (13, 15), (12, 15), (11, 15), (11, 14), (11, 13), (11, 12), (10, 12), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",498,1804,925,BFS,c3,h1,2
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (23, 27), (23, 26), (23, 25), (22, 25), (21, 25), (20, 25), (19, 25), (19, 24), (18, 24), (17, 24), (16, 24), (16, 23), (16, 22), (15, 22), (15, 21), (14, 21), (13, 21), (12, 21), (12, 20), (11, 20), (11, 19), (11, 18), (10, 18), (9, 18), (9, 17), (9, 16), (8, 16), (7, 16), (7, 15), (7, 14), (6, 14), (6, 13), (5, 13), (4, 13), (4, 12), (3, 12), (3, 11), (2, 11), (2, 10), (2, 9), (2, 8), (1, 8), (0, 8)]",411,1793,919,BFS,c4,h1,2
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (23, 27), (23, 26), (22, 26), (21, 26), (21, 25), (21, 24), (20, 24), (20, 23), (19, 23), (18, 23), (17, 23), (17, 22), (16, 22), (16, 21), (16, 20), (16, 19), (15, 19), (15, 18), (15, 17), (14, 17), (14, 16), (14, 15), (14, 14), (13, 14), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (11, 10), (11, 9), (10, 9), (10, 8), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",440,1804,925,BFS,c1,h1,3
"(23, 29)","(0, 8)","[(23, 29), (22, 29), (21, 29), (21, 28), (21, 27), (20, 27), (19, 27), (19, 26), (19, 25), (18, 25), (18, 24), (18, 23), (17, 23), (17, 22), (16, 22), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (10, 21), (10, 20), (9, 20), (8, 20), (8, 19), (8, 18), (7, 18), (7, 17), (7, 16), (7, 15), (7, 14), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (5, 9), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",555,1799,922,BFS,c2,h1,3
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (23, 27), (23, 26), (22, 26), (22, 25), (22, 24), (22, 23), (22, 22), (22, 21), (22, 20), (21, 20), (21, 19), (21, 18), (21, 17), (20, 17), (20, 16), (19, 16), (19, 15), (19, 14), (18, 14), (18, 13), (17, 13), (17, 12), (17, 11), (16, 11), (16, 10), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",493,1804,925,BFS,c3,h1,3
"(23, 29)","(0, 8)","[(23, 29), (23, 28), (22, 28), (21, 28), (20, 28), (20, 27), (20, 26), (20, 25), (20, 24), (19, 24), (19, 23), (18, 23), (17, 23), (16, 23), (15, 23), (15, 22), (15, 21), (14, 21), (14, 20), (14, 19), (14, 18), (14, 17), (14, 16), (13, 16), (12, 16), (11, 16), (11, 15), (11, 14), (11, 13), (10, 13), (9, 13), (9, 12), (9, 11), (8, 11), (7, 11), (7, 10), (7, 9), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",434,1797,921,BFS,c4,h1,3
"(23, 29)","(0, 8)","[(23, 29), (22, 29), (21, 29), (20, 29), (20, 28), (19, 28), (19, 27), (19, 26), (19, 25), (19, 24), (18, 24), (17, 24), (17, 23), (17, 22), (16, 22), (16, 21), (15, 21), (15, 20), (15, 19), (14, 19), (14, 18), (13, 18), (13, 17), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (10, 10), (9, 10), (9, 9), (8, 9), (8, 8), (7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (0, 8)]",440,1801,923,BFS,c1,h1,4
