Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(6, 25)","(11, 22)","[(6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (11, 24), (11, 23), (11, 22)]",80,264,124,BFS,c1,h1
"(6, 25)","(11, 22)","[(6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (11, 24), (11, 23), (11, 22)]",105,264,124,BFS,c2,h1
"(6, 25)","(11, 22)","[(6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (11, 24), (11, 23), (11, 22)]",90,264,124,BFS,c3,h1
"(6, 25)","(11, 22)","[(6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (11, 24), (11, 23), (11, 22)]",90,264,124,BFS,c4,h1
"(28, 18)","(15, 16)","[(28, 18), (27, 18), (26, 18), (25, 18), (24, 18), (23, 18), (22, 18), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",150,568,277,BFS,c1,h1
"(28, 18)","(15, 16)","[(28, 18), (27, 18), (26, 18), (25, 18), (24, 18), (23, 18), (22, 18), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",215,568,277,BFS,c2,h1
"(28, 18)","(15, 16)","[(28, 18), (27, 18), (26, 18), (25, 18), (24, 18), (23, 18), (22, 18), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",178,568,277,BFS,c3,h1
"(28, 18)","(15, 16)","[(28, 18), (27, 18), (26, 18), (25, 18), (24, 18), (23, 18), (22, 18), (21, 18), (20, 18), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (15, 17), (15, 16)]",136,568,277,BFS,c4,h1
"(2, 24)","(12, 0)","[(2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3), (12, 2), (12, 1), (12, 0)]",340,1554,790,BFS,c1,h1
"(2, 24)","(12, 0)","[(2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3), (12, 2), (12, 1), (12, 0)]",390,1554,790,BFS,c2,h1
"(2, 24)","(12, 0)","[(2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3), (12, 2), (12, 1), (12, 0)]",365,1554,790,BFS,c3,h1
"(2, 24)","(12, 0)","[(2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (12, 17), (12, 16), (12, 15), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (12, 4), (12, 3), (12, 2), (12, 1), (12, 0)]",335,1554,790,BFS,c4,h1
"(11, 12)","(11, 24)","[(11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 20), (11, 21), (11, 22), (11, 23), (11, 24)]",120,667,312,BFS,c1,h1
"(11, 12)","(11, 24)","[(11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 20), (11, 21), (11, 22), (11, 23), (11, 24)]",120,667,312,BFS,c2,h1
"(11, 12)","(11, 24)","[(11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 20), (11, 21), (11, 22), (11, 23), (11, 24)]",120,667,312,BFS,c3,h1
"(11, 12)","(11, 24)","[(11, 12), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 20), (11, 21), (11, 22), (11, 23), (11, 24)]",120,667,312,BFS,c4,h1
